CategoryID,"Keywords (If only this Keyword is detected, assign CategoryID)"
Women,Womens
Women>Clothing,"Women, Womens, Women's, Womens', Unisex, Female, Lady, Ladies"
Women>Clothing>Dresses,"Dress, Dresses"
Women>Clothing>Dresses>Day,"Sundress, Shirtdress, Minidress, Slipdress"
Women>Clothing>Dresses>Cocktail,
Women>Clothing>Dresses>Gowns,"Gown, Gowns, Ballgown, Bedgown, Nightgown"
Women>Clothing>Dresses>Maxi,
Women>Clothing>Tops,"Top, Tops"
Women>Clothing>Tops>T-shirts,"Tee, Tees, T-shirt, T-shirts, t's, ts, Tshirt, Tshirts"
Women>Clothing>Tops>Tank tops,"wife-beater, cami, undershirt, Tank, Tanks, Neck Shell"
Women>Clothing>Tops>Blouses,"Blouse, Blouses, Button-up, Button-down, button up, button down"
Women>Clothing>Tops>Shirts,"Shirt, Shirts, Button-up, Button-down, button up, button down"
Women>Clothing>Tops>Tunics,"Tunics, Tunic, Kurta"
Women>Clothing>Tops>Cardigans,"Cardigans, Cardigan"
Women>Clothing>Tops>Sweaters,"Sweaters, Sweater, Pullover, Pullovers, Jumpers, Jumper, Turtleneck, Turtlenecks"
Women>Clothing>Tops>Sweatshirts & Hoodies,"Sweatshirts, Sweatshirt, Hoodies, Hoodie, Hoody"
Women>Clothing>Outerwear>Coats,"Coat, Coats, Parka, Parkas, Trench, Trenches, Trenchcoat, Trenchcoats, Anorak, Anoraks, Overcoat, Peacoat, Duster, Dusters"
Women>Clothing>Outerwear>jackets,"Jacket, Jackets, Kimono, Kimonos, Blazer, Blazers, Topper, Bomber"
Women>Clothing>Outerwear>Vests,"Vest, Vests, Waistcoat, Waistcoats, Waist Coat, Gilet"
Women>Clothing>Outerwear>Capes,"Cape, Capes, Poncho, Ponchos, Cloak, Cloaks"
Women>Clothing>Skirts,"Skirts, Skirt"
Women>Clothing>Skirts>Mini,"Miniskirt, Miniskirts, Mini-Skirt, Mini-Skirts"
Women>Clothing>Skirts>Knee-length,"Midiskirt, Midiskirts, Midi-Skirt, Midi-Skirts"
Women>Clothing>Skirts>Long,"maxiskirt, Maxi-skirt, Maxi-Skirts"
Women>Clothing>Shorts,"Shorts, Short, Shortie"
Women>Clothing>Skorts,"Skort, Skorts"
Women>Clothing>Jeans,"Jeans, Jean, Denim"
Women>Clothing>Jeans>Bootcut,
Women>Clothing>Jeans>Boyfriend,
Women>Clothing>Jeans>Flared,
Women>Clothing>Jeans>Cropped,
Women>Clothing>Jeans>Skinny,"Jeggings, Jegging"
