CategoryID,Keyword,Product
Women>Clothing>Dresses,"short sleeve, short sleeves, pullover, long sleeve, long sleeves, skirt, skirts, belt, belts, belt  ,    belt, button-up, button-down, button up, button down, Bra, Bras, sweater, coat,","Dress, Dresses"
Women>Clothing>Dresses>Day,"shirt, tank, short, denim, jean, jeans","Dress, Dresses"
Women>Clothing>Dresses>Gowns,"short sleeve, short sleeves, pullover, long sleeve, long sleeves, skirt, skirts, belt, belts, belt,    belt, button-up, button-down, button up, button down, Bra, Bras,","gown, gowns"
Women>Clothing>Tops,"denim, jean, jeans, belt, belts, belt,    belt","top, tops"
Women>Clothing>Tops>T-shirts,short,"top, tops, t-shirt, tee, t"
Women>Clothing>Tops>Tank tops,"slip on, slip ons, slip, tank,","tank, tanks, top, tops"
Women>Clothing>Tops>Blouses,"dress, dress-","shirt, shirts"
Women>Clothing>Tops>Shirts,"denim, jean, short, o ford","shirt, shirts"
Women>Clothing>Tops>Sweatshirts & Hoodies,sweat,"shirt, shirts"
Women>Clothing>Outerwear>Coats,"button up, button down, button, belt, belts, belt  ,    belt, short sleeve, short sleeves, long sleeve, long sleeves, denim, jean, jeans, short, duffle ","Coat, Coats, Parka, Parkas, Trench, Trenches, Trenchcoat, Trenchcoats"
Women>Clothing>Outerwear>jackets,"button up, button down, button  , belt, belts, belt  ,    belt, short sleeve, short sleeves, long sleeve, long sleeves, shawl, shawls, denim, jean, jeans, short ","Jacket, Jackets, Kimono, Kimonos, Blazer, Blazers"
Women>Clothing>Outerwear>Vests,"button up, button down, button  , belt, belts, belt  ,    belt, shawl, shawls, denim, jean, jeans, short ","Vest, Vests, Waistcoat, Waistcoats, Waist Coat"
Women>Clothing>Outerwear>Capes,"button up, button down, button  , belt, belts, belt  ,    belt, short sleeve, short sleeves, long sleeve, long sleeves, denim, jean, jeans, short,","Cape, Capes, Poncho, Ponchos, Cloak, Cloaks"
Women>Clothing>Skirts,"denim, jean, jeans, belt, belts, belt ,    belt, button-up, button-down, button up, button down,","skirt, skirts"
Women>Clothing>Skirts>Mini,"denim, jean, jeans, belt, belts, belt ,    belt, button-up, button-down, button up, button down, denim, jean, jeans, short ","miniskirt, miniskirts"
Women>Clothing>Skirts>Knee-length,"denim, jean, jeans, belt, belts, belt ,    belt, button-up, button-down, button up, button down,","midiskirt, midiskirts, midi-skirt, midi-skirts"
Women>Clothing>Skirts>Long,"denim, jean, jeans, belt, belts, belt,    belt, button-up, button-down, button up, button down","ma iskirt, ma i-skirt, ma i-skirts"
Women>Clothing>Shorts,"belt, belts, belt, denim, jean, jeans, button-up, button-down, button up, button down, chino, chinos ","short, shorts"
Women>Clothing>Skorts,"denim, jean, jeans, belt, belts, belt  ,    belt, button-up, button-down, button up, button down","skort, skorts"
