Keyword,Product,
"mini, mini , day, day , all-day, daytime, summer, spring, resort, cami, beach, crochet, basic, slit, skater, sun, swing, wrap, gauze, jersey, slip, easy, smock, above , above -knee, above-the-knee, above -the -knee, tank, surplice, loose, pinafore, peasant, t-shirt, tee, boho, micro,","dress, dresses",Women>Clothing>Dresses
"cocktail, evening, midi, midi , mid, mid , medium, pencil, body, bodycon, body , sheath, fitted, little, party, parties, flare, flared, fit-and-flare, prom, shift, night, tea, blouson, sleeveless, strapless, tier, tiers, tiered, below -the -knee, below -knee, below-knee, below-the-knee, ruffle, ruffles, ruffled, knee , knee, shoulder, cold-shoulder, one-shoulder, one -shoulder, off-shoulder, off -shoulder, off-the-shoulder, ballerina, lace,","dress, dresses",Women>Clothing>Dresses>Cocktail
"sleeveless, spaghetti, cold -shoulder, cold-shoulder,","top, tops, shirt, shirts, t-shirt, tee",Women>Clothing>Tops>Tank tops
"maxi, maxis, long, floor, floor , ankle-length,","dress, dresses",Women>Clothing>Dresses>Maxi
"embroidered, embroidery, ruffle, ruffled, ruffles, lace, laces, smock, smocked,","top, tops, shirt, shirts",Women>Clothing>Tops>Blouses
"poet, pocket,","blouse, blouses, shirt, shirts",Women>Clothing>Tops>Blouses
"hooded, hood,","sweater, sweaters, sweat, top, cardigan",Women>Clothing>Tops>Sweatshirts & Hoodies
"Sleeveless,"," blazer, blazers, jacket, jackets, coat, coats, parka, parkas, trench, trenches, trenchcoat, trenchcoats, anorak, anoraks",Women>Clothing>Outerwear>Vests
"mini, mini  ,"," skirts, skirt",Women>Clothing>Skirts>Mini
"midi, mid, medium, knee, knees, knee , mid , pencil, a-line, asymmetric, asymmetrical, waterfall, a -line,"," skirts, skirt",Women>Clothing>Skirts>Knee-length
"long, maxi, ball, calf , calf -length, full , full,"," skirts, skirt",Women>Clothing>Skirts>Long
"bootcut, boot , relaxed, skinny, skinnies, skin-tight,"," jean, jeans, denim",Women>Clothing>Jeans>Bootcut
"boyfriend, boyfriend , mom, slouchy, "," jean, jeans, denim",Women>Clothing>Jeans>Boyfriend
"flare, flared, flare , flareleg, bellbottom, bell-bottom, bell, "," jean, jeans, denim",Women>Clothing>Jeans>Flared
"cropped, crop, cut-off, capri, "," jean, jeans, denim",Women>Clothing>Jeans>Cropped
"skinny , slim, slim  slimming, legging, leggings, "," jean, jeans, denim",Women>Clothing>Jeans>Skinny
" straight, straight , straightleg, regular, regular , regular -fit,"," jean, jeans, denim",Women>Clothing>Jeans>Straight Leg
"wide, wide , wideleg,"," jean, jeans, denim",Women>Clothing>Jeans>Wide Leg
"capri, capris, capri-cut, crop, cropped, crop-cut, tapered, tailored, pintuck, ankle, stirrup, cuffed,","pant, pants, trousers, trouser, slack, slacks, chino, chinos, legging, leggings",Women>Clothing>Pants>Capri & Cropped
"yoga,","pant, pants, trouser, trousers, legging, leggings, jegging, jogging",Women>Clothing>Pants>Leggings
"straight, straight , straightleg, regular , regular -fit, classic,","pant, pants, trouser, trousers, slack, slacks, chino, chinos",Women>Clothing>Pants>Straight Leg
"wide, wide , wideleg, loose, relaxed, palazzo, gauze, ","pant, pants, trouser, trousers, slack, slacks, chino, chinos",Women>Clothing>Pants>Wide Leg
"skinny, skinnies, skin-tight, skinny , slim, slim , slimming, ","pant, pants, trouser, trousers, slack, slacks, chino, chinos",Women>Clothing>Pants>Skinny
"flare, flared, flare-cut, flareleg, flare-leg, bellbottom, bell-bottom, bell,","pant, pants, trouser, trousers, slack, slacks, chino, chinos",Women>Clothing>Pants>Flared
"bootcut, boot-","pant, pants, trouser, trousers, slack, slacks, chino, chinos",Women>Clothing>Pants>Boot Cut
"Gaucho,","pant, pants, trouser, trousers, chino, chinos",Women>Clothing>Pants>Culottes
"Sweat, Fleece, Lounge, Jogger","pant, pants",Women>Clothing>Pants>Sweats
"two-piece, two -piece, 2 -piece, 2-piece,","swim, swimsuit, swimwear, bathing -suit, bathingsuit, bathing , swim ",Women>Clothing>Swimwear>Bikinis
"bikini, bikinis, swim, swimwear, bathing -suit, bathingsuit, bathing , swimsuit, swim , ","bottom, bottoms, brief, briefs, thong, thongs, pant, pants, shorts, short, panty, panties",Women>Clothing>Swimwear>Bikinis>Bikini Bottoms
"Activewear, Active, Athletic, Athlete, Hiking, Camping, Sport, Sports, Basketball, Football, Soccer, Outdoors, Run, Running, Runner, Runners, Jog, Jogging, Jogger, Joggers, Walking, Walkers, Cycling, Cyclist, Snow, Ski, Snow , Ski , Surf, Surfing, Swimming, Snowboard, Snowboarding, Skiing, Sailing, Train, Training, Hiking, Hike, Workout, Workouts, Work-out, Performance, Yoga, Tennis, Golf, Golfing, Golfer, Boxing, Boxer, Under -Armour, Track, Cleated, Reflective,","shoe, shoes, sneaker, sneakers",Women>Shoes>Athletic
"flat, beach,","sandal, sandals",Women>Shoes>Flats
"ballerina, boating, boat,","Shoe, Shoes, Flat, Flats",Women>Shoes>Flats
"boating, boat, driving, Casual, Tennis, Run, Running, Runner, Runners,","shoes, shoe",Women>Shoes>Loafers & Moccasins
"wing -tip, wing-tip, wingtip, Derby, Derbys, Derbies,","shoes, shoe, oxford, oxfords, brogue, brogues",Women>Shoes>Oxfords
"Court,","shoe, shoes, heel, heels, pump, pumps, high-heel, high-heels, heeled",Women>Shoes>Heels
"Casual, Tennis, Run, Running, Runner, Runners,","shoes, shoe",Women>Shoes>Sneakers
"Cap, Caps,","hat, hats, millinery, beret, baseballcap, beanie, beanies, fedora, fedoras, snapback, visor, turban, baseball",Women>Accessories>Hats
"rolling, Travel,","bag, bags, handbag, handbags, backpack, backpacks, tote, totes, pouch, purse, case, cases",Women>Accessories>Bags>Luggage
"Envelope, Pouch,","bag, bags, handbag, handbags, hand-bag, hand -bag, hand -bags, purse, purses, clutch, clutches, leather",Women>Accessories>Bags>Handbags>Clutches
"shoulder, saddle, bucket, Beach, Gym,","bag, bags, handbag, handbags",Women>Accessories>Bags>Handbags>Shoulder Bags
,"bag, bags, handbag, handbags",Women>Accessories>Bags>Handbags>Duffles & Totes
"Collar,",jewelry,Women>Accessories>Jewelry>Necklaces
"Cuff, Cuffs ,","jewelry, Bracelet, Bracelets, Bangle, Bangles, brass, gold, silver, coil",Women>Accessories>Jewelry>Bracelets & Bangles
"Charm, Charms,","bag, bags, handbags, hand , brass, silver, gold",Women>Accessories>Jewelry>Charms & Pendants
"Lip, Lips,","stick, sticks, balm, balms, balmer, color, colour, gloss, creme, stain, lacquer, laque",Women>Beauty>Makeup
"skin, face,","cream, creams, oil, oils, care, pad, pads, mist",Women>Beauty>Skincare
"Body, Shower, Shave, Foot,","cream, creams, oil, oils, mist, lotion, lotions, scrub, scrubs, gel, gels, cap, polish",Women>Beauty>Bath & Body
"Hair, Ponytail,","Weave, Hairbrush, Hairbrushes, Haircare, Haircomb, Haircombs, Hairspray, Hairsprays, Hairstyler, Hairstylers, Hair , Extensions, Shampoo, Shampoos, Conditioner, Curl, Curling, Curly, Curler, Wig, Wigs, Comb, Combs, Flat -Iron, Styling -Iron, Pomade, Mousse",Women>Beauty>Hair
"Lacquer, Laque,","Nails, Nail, Nail , Nails ",Women>Beauty>Nails
"Beauty, Skin, Skincare, Makeup, Body, Bath, Lip, Lips, Shampoo, Shampoos, Nail, Nails, Fragrance, Fragrances, Perfume, Perfumes, Parfum, Parfume, Complexion, Cleanser, Cleansing, Soap, Mascara, Grooming, Toilette, Eye,","set, sets, kit, kits",Women>Beauty>Sets & Kits
"Cosmetic, Cosmetics, Cosmetique, beauty, toiletry, Makeup, make-up, Make -Up, wash, beach, travel, vanity, train, pencil, brush, powder,","bag, bags, pouch, purse, case, cases, trunk, handbag, handbags, wristlet",Women>Beauty>Bags & Cases
